DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
264,2008-12-23,2008,12,December,23,Tuesday,1
265,2008-12-24,2008,12,December,24,Wednesday,1
266,2008-12-25,2008,12,December,25,Thursday,1
267,2008-12-26,2008,12,December,26,Friday,1
268,2008-12-27,2008,12,December,27,Saturday,1
269,2008-12-28,2008,12,December,28,Sunday,1
270,2008-12-29,2008,12,December,29,Monday,1
271,2008-12-30,2008,12,December,30,Tuesday,1
272,2008-12-31,2008,12,December,31,Wednesday,1
273,2009-01-03,2009,1,January,3,Saturday,2
274,2009-01-04,2009,1,January,4,Sunday,2
275,2009-01-06,2009,1,January,6,Tuesday,2
276,2009-01-07,2009,1,January,7,Wednesday,2
277,2009-01-08,2009,1,January,8,Thursday,2
278,2009-01-09,2009,1,January,9,Friday,2
279,2009-01-12,2009,1,January,12,Monday,2
280,2009-01-13,2009,1,January,13,Tuesday,2
281,2009-01-15,2009,1,January,15,Thursday,2
282,2009-01-16,2009,1,January,16,Friday,2
283,2009-01-18,2009,1,January,18,Sunday,2
284,2009-01-19,2009,1,January,19,Monday,2
285,2009-01-20,2009,1,January,20,Tuesday,2
286,2009-01-21,2009,1,January,21,Wednesday,2
287,2009-01-22,2009,1,January,22,Thursday,2
288,2009-01-24,2009,1,January,24,Saturday,2
289,2009-01-25,2009,1,January,25,Sunday,2
290,2009-01-26,2009,1,January,26,Monday,2
291,2009-01-27,2009,1,January,27,Tuesday,2
292,2009-01-28,2009,1,January,28,Wednesday,2
293,2009-01-29,2009,1,January,29,Thursday,2
294,2009-01-30,2009,1,January,30,Friday,2
295,2009-01-31,2009,1,January,31,Saturday,2
296,2009-02-01,2009,2,February,1,Sunday,2
297,2009-02-02,2009,2,February,2,Monday,2
298,2009-02-03,2009,2,February,3,Tuesday,2
299,2009-02-04,2009,2,February,4,Wednesday,2
300,2009-02-05,2009,2,February,5,Thursday,2
301,2009-02-06,2009,2,February,6,Friday,2
302,2009-02-08,2009,2,February,8,Sunday,2
303,2009-02-09,2009,2,February,9,Monday,2
304,2009-02-11,2009,2,February,11,Wednesday,2
305,2009-02-12,2009,2,February,12,Thursday,2
306,2009-02-14,2009,2,February,14,Saturday,2
307,2009-02-15,2009,2,February,15,Sunday,2
308,2009-02-17,2009,2,February,17,Tuesday,2
309,2009-02-18,2009,2,February,18,Wednesday,2
310,2009-02-19,2009,2,February,19,Thursday,2
311,2009-02-20,2009,2,February,20,Friday,2
312,2009-02-21,2009,2,February,21,Saturday,2
313,2009-02-22,2009,2,February,22,Sunday,2
314,2009-02-23,2009,2,February,23,Monday,2
315,2009-02-24,2009,2,February,24,Tuesday,2
316,2009-02-25,2009,2,February,25,Wednesday,2
317,2009-02-26,2009,2,February,26,Thursday,2
318,2009-02-27,2009,2,February,27,Friday,2
319,2009-02-28,2009,2,February,28,Saturday,2
320,2009-03-01,2009,3,March,1,Sunday,2
321,2009-03-02,2009,3,March,2,Monday,2
322,2009-03-03,2009,3,March,3,Tuesday,2
323,2009-03-04,2009,3,March,4,Wednesday,2
324,2009-03-05,2009,3,March,5,Thursday,2
325,2009-03-06,2009,3,March,6,Friday,2
326,2009-03-07,2009,3,March,7,Saturday,2
327,2009-03-08,2009,3,March,8,Sunday,2
328,2009-03-09,2009,3,March,9,Monday,2
329,2009-03-10,2009,3,March,10,Tuesday,2
330,2009-03-11,2009,3,March,11,Wednesday,2
331,2009-03-12,2009,3,March,12,Thursday,2
332,2009-03-13,2009,3,March,13,Friday,2
333,2009-03-14,2009,3,March,14,Saturday,2
334,2009-03-15,2009,3,March,15,Sunday,2
335,2009-03-16,2009,3,March,16,Monday,2
336,2009-03-17,2009,3,March,17,Tuesday,2
337,2009-03-18,2009,3,March,18,Wednesday,2
338,2009-03-19,2009,3,March,19,Thursday,2
339,2009-03-20,2009,3,March,20,Friday,2
340,2009-03-21,2009,3,March,21,Saturday,2
341,2009-03-22,2009,3,March,22,Sunday,2
342,2009-03-23,2009,3,March,23,Monday,2
343,2009-03-24,2009,3,March,24,Tuesday,2
344,2009-03-25,2009,3,March,25,Wednesday,2
345,2009-03-26,2009,3,March,26,Thursday,2
346,2009-03-27,2009,3,March,27,Friday,2
347,2009-03-28,2009,3,March,28,Saturday,2
348,2009-03-29,2009,3,March,29,Sunday,2
349,2009-03-30,2009,3,March,30,Monday,2
350,2009-04-01,2009,4,April,1,Wednesday,2
351,2009-04-03,2009,4,April,3,Friday,2
352,2009-04-04,2009,4,April,4,Saturday,2
353,2009-04-05,2009,4,April,5,Sunday,2
354,2009-04-06,2009,4,April,6,Monday,2
355,2009-04-07,2009,4,April,7,Tuesday,2
356,2009-04-08,2009,4,April,8,Wednesday,2
357,2009-04-10,2009,4,April,10,Friday,2
358,2009-04-11,2009,4,April,11,Saturday,2
359,2009-04-12,2009,4,April,12,Sunday,2
360,2009-04-13,2009,4,April,13,Monday,2
361,2009-04-14,2009,4,April,14,Tuesday,2
362,2009-04-16,2009,4,April,16,Thursday,2
363,2009-04-17,2009,4,April,17,Friday,2
364,2009-04-18,2009,4,April,18,Saturday,2
365,2009-04-19,2009,4,April,19,Sunday,2
366,2009-04-20,2009,4,April,20,Monday,2
367,2009-04-21,2009,4,April,21,Tuesday,2
368,2009-04-22,2009,4,April,22,Wednesday,2
369,2009-04-23,2009,4,April,23,Thursday,2
370,2009-04-24,2009,4,April,24,Friday,2
371,2009-04-25,2009,4,April,25,Saturday,2
